time_period,time_identifier,geographic_level,country_code,country_name,subject_name,PA_band,providers_include,earnings_min,earnings_LQ,earnings_median,earnings_UQ,earnings_max,prop_in_PA_band
202122,Tax year,National,K03000001,Great Britain,"25. Agriculture, food and related studies",Prior attainment band 1,8,20100,26600,32900,33700,35800,27.6
202122,Tax year,National,K03000001,Great Britain,"25. Agriculture, food and related studies",Prior attainment band 2,21,18200,22300,23700,26300,30300,72.4
202122,Tax year,National,K03000001,Great Britain,15. Allied health,Prior attainment band 1,24,29900,33000,35200,39100,51500,31.6
202122,Tax year,National,K03000001,Great Britain,15. Allied health,Prior attainment band 2,45,22100,29200,30100,31200,37800,59.2
202122,Tax year,National,K03000001,Great Britain,15. Allied health,Prior attainment band 3,7,19300,22300,28100,28600,30700,9.2
202122,Tax year,National,K03000001,Great Britain,"32. Architecture, building and planning",Prior attainment band 1,12,27400,29600,30300,38100,51800,24.5
202122,Tax year,National,K03000001,Great Britain,"32. Architecture, building and planning",Prior attainment band 2,27,24800,28400,35600,39200,52200,55.1
202122,Tax year,National,K03000001,Great Britain,"32. Architecture, building and planning",Prior attainment band 3,10,25700,28900,36500,40000,53100,20.4
202122,Tax year,National,K03000001,Great Britain,16. Biosciences,Prior attainment band 1,24,28100,31000,32700,36300,43800,31.6
202122,Tax year,National,K03000001,Great Britain,16. Biosciences,Prior attainment band 2,36,23000,26100,28100,29800,35400,47.4
202122,Tax year,National,K03000001,Great Britain,16. Biosciences,Prior attainment band 3,16,20800,25900,27700,28800,32800,21.1
202122,Tax year,National,K03000001,Great Britain,10. Business and management,Prior attainment band 1,39,31400,37400,43400,51800,63900,34.2
202122,Tax year,National,K03000001,Great Britain,10. Business and management,Prior attainment band 2,63,21400,26300,28500,31800,54400,55.3
202122,Tax year,National,K03000001,Great Britain,10. Business and management,Prior attainment band 3,12,22600,25000,26200,27400,35000,10.5
202122,Tax year,National,K03000001,Great Britain,5. Chemistry,Prior attainment band 1,16,31000,34200,36000,42200,52700,40
202122,Tax year,National,K03000001,Great Britain,5. Chemistry,Prior attainment band 2,18,26800,28500,31800,33000,35800,45
202122,Tax year,National,K03000001,Great Britain,5. Chemistry,Prior attainment band 3,6,24500,29100,30300,32000,33000,15
202122,Tax year,National,K03000001,Great Britain,4. Combined and general studies,Prior attainment band 1,3,29900,31700,33400,37000,40500,42.9
202122,Tax year,National,K03000001,Great Britain,4. Combined and general studies,Prior attainment band 2,2,25600,25900,26300,26600,27000,28.6
202122,Tax year,National,K03000001,Great Britain,4. Combined and general studies,Prior attainment band 3,2,21900,23100,24300,25500,26600,28.6
202122,Tax year,National,K03000001,Great Britain,14. Computing,Prior attainment band 1,27,40200,46000,51800,55300,99600,31.8
202122,Tax year,National,K03000001,Great Britain,14. Computing,Prior attainment band 2,41,25200,30700,33800,37600,48000,48.2
202122,Tax year,National,K03000001,Great Britain,14. Computing,Prior attainment band 3,17,24500,28500,29900,31000,34900,20
202122,Tax year,National,K03000001,Great Britain,22. Creative arts and design,Prior attainment band 1,24,21900,23700,25800,27900,31800,28.2
202122,Tax year,National,K03000001,Great Britain,22. Creative arts and design,Prior attainment band 2,52,14200,21700,23400,25200,29900,61.2
202122,Tax year,National,K03000001,Great Britain,22. Creative arts and design,Prior attainment band 3,9,17200,18400,20600,22300,28600,10.6
202122,Tax year,National,K03000001,Great Britain,11. Economics,Prior attainment band 1,19,42200,49500,55100,60600,83600,33.3
202122,Tax year,National,K03000001,Great Britain,11. Economics,Prior attainment band 2,30,27000,36100,39400,43500,55800,52.6
202122,Tax year,National,K03000001,Great Britain,11. Economics,Prior attainment band 3,8,29600,29900,31600,33300,44200,14
202122,Tax year,National,K03000001,Great Britain,28. Education and teaching,Prior attainment band 1,17,25000,26300,28100,29900,32500,26.2
202122,Tax year,National,K03000001,Great Britain,28. Education and teaching,Prior attainment band 2,37,21500,24800,26600,28100,33600,56.9
202122,Tax year,National,K03000001,Great Britain,28. Education and teaching,Prior attainment band 3,11,17900,21700,23700,25900,28500,16.9
202122,Tax year,National,K03000001,Great Britain,30. Engineering,Prior attainment band 1,18,38000,39600,42000,44500,50000,25
202122,Tax year,National,K03000001,Great Britain,30. Engineering,Prior attainment band 2,42,28700,35100,37600,38700,47800,58.3
202122,Tax year,National,K03000001,Great Britain,30. Engineering,Prior attainment band 3,12,27200,33300,36900,38400,44000,16.7
202122,Tax year,National,K03000001,Great Britain,12. English studies,Prior attainment band 1,30,24800,28800,29900,30800,33900,32.3
202122,Tax year,National,K03000001,Great Britain,12. English studies,Prior attainment band 2,55,20400,23700,25200,26800,32100,59.1
202122,Tax year,National,K03000001,Great Britain,12. English studies,Prior attainment band 3,8,19700,20800,21600,22700,25900,8.6
202122,Tax year,National,K03000001,Great Britain,"34. General, applied and forensic sciences",Prior attainment band 1,6,26300,26400,28100,33300,43800,20.7
202122,Tax year,National,K03000001,Great Britain,"34. General, applied and forensic sciences",Prior attainment band 2,16,23400,24700,25900,27600,32500,55.2
202122,Tax year,National,K03000001,Great Britain,"34. General, applied and forensic sciences",Prior attainment band 3,7,23900,25000,25700,27400,30700,24.1
202122,Tax year,National,K03000001,Great Britain,"20. Geography, earth and environmental studies",Prior attainment band 1,18,32100,33300,36900,41600,47800,30
202122,Tax year,National,K03000001,Great Britain,"20. Geography, earth and environmental studies",Prior attainment band 2,26,25600,27800,29600,30800,36100,43.3
202122,Tax year,National,K03000001,Great Britain,"20. Geography, earth and environmental studies",Prior attainment band 3,16,23700,26400,27600,29600,32300,26.7
202122,Tax year,National,K03000001,Great Britain,27. Health and social care,Prior attainment band 1,18,22300,29900,32100,35100,37600,27.3
202122,Tax year,National,K03000001,Great Britain,27. Health and social care,Prior attainment band 2,38,20400,24400,28100,31400,41100,57.6
202122,Tax year,National,K03000001,Great Britain,27. Health and social care,Prior attainment band 3,10,16100,21300,27600,34100,35600,15.2
202122,Tax year,National,K03000001,Great Britain,21. History and archaeology,Prior attainment band 1,23,26900,29700,31800,36700,47400,28.4
202122,Tax year,National,K03000001,Great Britain,21. History and archaeology,Prior attainment band 2,43,20800,24600,26300,28100,32500,53.1
202122,Tax year,National,K03000001,Great Britain,21. History and archaeology,Prior attainment band 3,15,19900,21900,24100,25200,28100,18.5
202122,Tax year,National,K03000001,Great Britain,3. Languages and area studies,Prior attainment band 1,22,28100,31300,33200,36100,44200,44
202122,Tax year,National,K03000001,Great Britain,3. Languages and area studies,Prior attainment band 2,23,23700,26600,27700,30300,37200,46
202122,Tax year,National,K03000001,Great Britain,3. Languages and area studies,Prior attainment band 3,5,21200,21900,25600,26300,26300,10
202122,Tax year,National,K03000001,Great Britain,19. Law,Prior attainment band 1,26,28800,33600,37900,48500,69200,30.2
202122,Tax year,National,K03000001,Great Britain,19. Law,Prior attainment band 2,44,21900,24800,28400,31400,36900,51.2
202122,Tax year,National,K03000001,Great Britain,19. Law,Prior attainment band 3,16,23000,23700,26500,28600,31000,18.6
202122,Tax year,National,K03000001,Great Britain,33. Materials and technology,Prior attainment band 1,7,32800,37800,38700,42100,58000,22.6
202122,Tax year,National,K03000001,Great Britain,33. Materials and technology,Prior attainment band 2,20,22300,25800,30500,35900,46500,64.5
202122,Tax year,National,K03000001,Great Britain,33. Materials and technology,Prior attainment band 3,4,21500,21800,22100,22700,24100,12.9
202122,Tax year,National,K03000001,Great Britain,7. Mathematical sciences,Prior attainment band 1,21,34100,40500,43800,48200,68600,35.6
202122,Tax year,National,K03000001,Great Britain,7. Mathematical sciences,Prior attainment band 2,29,24100,31400,33200,38700,40500,49.2
202122,Tax year,National,K03000001,Great Britain,7. Mathematical sciences,Prior attainment band 3,9,21900,30100,32100,33900,34700,15.3
202122,Tax year,National,K03000001,Great Britain,"26. Media, journalism and communications",Prior attainment band 1,22,21200,28900,30100,31300,39500,27.5
202122,Tax year,National,K03000001,Great Britain,"26. Media, journalism and communications",Prior attainment band 2,44,19700,23600,24800,25900,31000,55
202122,Tax year,National,K03000001,Great Britain,"26. Media, journalism and communications",Prior attainment band 3,14,17700,21900,25000,26400,29200,17.5
202122,Tax year,National,K03000001,Great Britain,29. Medical sciences,Prior attainment band 1,10,32100,34600,38100,43400,50400,25.6
202122,Tax year,National,K03000001,Great Britain,29. Medical sciences,Prior attainment band 2,21,28100,34100,36500,39100,40900,53.8
202122,Tax year,National,K03000001,Great Britain,29. Medical sciences,Prior attainment band 3,8,28500,30400,31800,34900,39800,20.5
202122,Tax year,National,K03000001,Great Britain,1. Medicine and dentistry,Prior attainment band 1,25,49100,52200,52700,53700,54400,96.2
202122,Tax year,National,K03000001,Great Britain,1. Medicine and dentistry,Prior attainment band 3,1,33600,33600,33600,33600,33600,3.8
202122,Tax year,National,K03000001,Great Britain,18. Nursing and midwifery,Prior attainment band 1,17,24000,31900,32800,33800,37200,30.9
202122,Tax year,National,K03000001,Great Britain,18. Nursing and midwifery,Prior attainment band 2,29,31000,32100,33000,34900,38300,52.7
202122,Tax year,National,K03000001,Great Britain,18. Nursing and midwifery,Prior attainment band 3,9,25900,32100,32700,34300,35000,16.4
202122,Tax year,National,K03000001,Great Britain,9. Performing arts,Prior attainment band 1,41,17900,22600,25400,27000,34600,35.3
202122,Tax year,National,K03000001,Great Britain,9. Performing arts,Prior attainment band 2,59,17500,20800,22300,23600,29200,50.9
202122,Tax year,National,K03000001,Great Britain,9. Performing arts,Prior attainment band 3,16,19300,20300,20900,21300,23700,13.8
202122,Tax year,National,K03000001,Great Britain,"17. Pharmacology, toxicology and pharmacy",Prior attainment band 1,9,34300,39800,40000,41600,44900,31
202122,Tax year,National,K03000001,Great Britain,"17. Pharmacology, toxicology and pharmacy",Prior attainment band 2,15,27700,34900,39200,40100,43800,51.7
202122,Tax year,National,K03000001,Great Britain,"17. Pharmacology, toxicology and pharmacy",Prior attainment band 3,5,25200,33000,34700,35400,38300,17.2
202122,Tax year,National,K03000001,Great Britain,8. Philosophy and religious studies,Prior attainment band 1,21,25900,29600,32500,35400,48900,35.6
202122,Tax year,National,K03000001,Great Britain,8. Philosophy and religious studies,Prior attainment band 2,30,19000,23700,26100,29500,33200,50.8
